# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
3.219937887599696236e+00, 4.706321962237555954e-11, 5.122397676670048874e-05, 2.338264786872774187e-05, 3.282307247402305362e-05, 1.052229964905519788e+00, 2.415282620554088044e+00, 4.190340139148140963e+00
3.320560946587186812e+00, 5.674310062014102958e-11, 5.027215827256546629e-05, 2.525086011954421592e-05, 3.433607617120244072e-05, 1.053905384963598646e+00, 2.482765517749734308e+00, 4.382223938761415916e+00
3.421184005574677389e+00, 5.867089747668806692e-11, 5.401094729345758350e-05, 2.466760932627539254e-05, 3.426514315622855513e-05, 1.055583472720245997e+00, 2.552133884320750834e+00, 4.582894469602079468e+00
3.521807064562167966e+00, 6.986013790754013623e-11, 5.332442864119415327e-05, 2.667725281671792426e-05, 3.539719692377492127e-05, 1.057264232423122285e+00, 2.623440400204027245e+00, 4.792754093129606652e+00
3.622430123549658099e+00, 7.370978776945425909e-11, 5.691096042395752199e-05, 2.645338874334559473e-05, 3.592146474137544629e-05, 1.058947668326651215e+00, 2.696739217211728157e+00, 5.012223595714841551e+00
3.723053182537148675e+00, 8.483910060752067988e-11, 5.576252598900218989e-05, 2.746694875402167982e-05, 3.718590421701225695e-05, 1.060633784692031290e+00, 2.772086000155422614e+00, 5.241743032352411902e+00
3.823676241524639252e+00, 9.204705866580689301e-11, 6.014268455158017663e-05, 2.775240880831500077e-05, 3.751049827201067931e-05, 1.062322585787244922e+00, 2.849537969119229963e+00, 5.481772609008368491e+00
3.924299300512129829e+00, 1.022980309018684029e-10, 5.882737171893542204e-05, 2.890653767463610417e-05, 3.882139599218284448e-05, 1.064014075887071309e+00, 2.929153942914068942e+00, 5.732793605372243029e+00
4.024922359499620406e+00, 1.142081714162241364e-10, 6.230746874779272246e-05, 2.985492827931836835e-05, 3.870190272497709371e-05, 1.065708259273095093e+00, 3.010994383746017800e+00, 5.995309339863702291e+00
4.125545418487110538e+00, 1.231857792207400899e-10, 6.271809036550876843e-05, 3.003790919535941176e-05, 4.009307632214938291e-05, 1.067405140233719463e+00, 3.095121443132711203e+00, 6.269846178828729855e+00
4.226168477474601559e+00, 1.398801136680328398e-10, 6.450871912045007717e-05, 3.122114134647092980e-05, 4.070942516757874177e-05, 1.069104723064174811e+00, 3.181599009102630049e+00, 6.556954591948865207e+00
4.326791536462091692e+00, 1.484978758043822730e-10, 6.619400454806481594e-05, 3.113376213004674989e-05, 4.171066922285976452e-05, 1.070807012066531172e+00, 3.270492754713148820e+00, 6.857210255979671487e+00
4.427414595449582713e+00, 1.684369004792782787e-10, 6.661162139899060258e-05, 3.264108532982375432e-05, 4.221285292338257844e-05, 1.072512011549708655e+00, 3.361870187924167031e+00, 7.171215209031522875e+00
4.528037654437072845e+00, 1.796665768771979229e-10, 6.981640672884415074e-05, 3.256642767987612573e-05, 4.293601797531328520e-05, 1.074219725829488103e+00, 3.455800702865208684e+00, 7.499599057707162508e+00
4.628660713424562978e+00, 2.000282592997556131e-10, 6.865454605285451427e-05, 3.416313358945830041e-05, 4.401193054119829814e-05, 1.075930159228522198e+00, 3.552355632534928365e+00, 7.843020239516412140e+00
4.729283772412053999e+00, 2.170090312304046699e-10, 7.273731495245957114e-05, 3.413562487223136216e-05, 4.405653405384375715e-05, 1.077643316076346114e+00, 3.651608302973029740e+00, 8.202167343099313612e+00
4.829906831399544132e+00, 2.359058913040333902e-10, 7.180503474386382688e-05, 3.531707770163225896e-05, 4.563683884751850090e-05, 1.079359200709389288e+00, 3.753634088945756897e+00, 8.577760488904839775e+00
4.930529890387035152e+00, 2.593950385176423853e-10, 7.501924299044193038e-05, 3.582879444760869459e-05, 4.576575613465846661e-05, 1.081077817470985636e+00, 3.858510471187222457e+00, 8.970552773093562138e+00
5.031152949374525285e+00, 2.776110033454442486e-10, 7.514411760791190492e-05, 3.634737462420729583e-05, 4.705436699557512465e-05, 1.082799170711384651e+00, 3.966317095240069701e+00, 9.381331777559424268e+00
5.131776008362016306e+00, 3.072055669567902027e-10, 7.743712197949173092e-05, 3.735715074252347971e-05, 4.742746675416565066e-05, 1.084523264787762731e+00, 4.077135831940132960e+00, 9.810921149098319916e+00
5.232399067349506439e+00, 3.271670827602538704e-10, 7.861410384989899326e-05, 3.749527137973063072e-05, 4.852987610804125336e-05, 1.086250104064233613e+00, 4.191050839591031085e+00, 1.026018225088991187e+01
5.333022126336996571e+00, 3.586001301432721204e-10, 7.937416833266067943e-05, 3.930758355978528735e-05, 4.886393456031020533e-05, 1.087979692911860585e+00, 4.308148627875935333e+00, 1.073001588960394592e+01
5.433645185324487592e+00, 3.871350263013003102e-10, 8.245192701461105710e-05, 3.875277366799112646e-05, 4.927085255142674098e-05, 1.089712035708666260e+00, 4.428518123555003960e+00, 1.122136412159414931e+01
5.534268244311977725e+00, 4.146874756516149537e-10, 8.165605934309557443e-05, 4.118287552851431182e-05, 5.143958641993221946e-05, 1.091447136839644116e+00, 4.552250737998425834e+00, 1.173521214180123806e+01
5.634891303299468746e+00, 4.546183200919982416e-10, 8.502702365708637855e-05, 3.959215429516371883e-05, 5.042204411218547495e-05, 1.093185000696769604e+00, 4.679440436606317810e+00, 1.227259025915246049e+01
5.735514362286958878e+00, 4.800879705237321943e-10, 8.593703703134664487e-05, 4.259039723343249854e-05, 5.337838700563601646e-05, 1.094925631679012135e+00, 4.810183810168211949e+00, 1.283457596241849075e+01
5.836137421274449011e+00, 5.280393128482719442e-10, 8.651186941456520164e-05, 4.205035266610755181e-05, 5.215660467502425797e-05, 1.096669034192344183e+00, 4.944580148216335402e+00, 1.342229608066996960e+01
5.936760480261940032e+00, 5.557081840458048919e-10, 9.028016694660665452e-05, 4.376317328020434773e-05, 5.392607052104906814e-05, 1.098415212649754835e+00, 5.082731514428363795e+00, 1.403692904266548602e+01
6.037383539249430164e+00, 6.082673445201958203e-10, 8.950980607100403894e-05, 4.430879163976196615e-05, 5.487974425621537373e-05, 1.100164171471258889e+00, 5.224742824136937358e+00, 1.467970723970133307e+01
