# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
2.149427249292238606e+00, 8.502596462786891639e-12, 1.197195603290223066e-07, 7.944986353164331909e-08, 2.159285223642822294e-07, 1.229771935005039785e+00, 2.929153942914069386e+00, 5.231143350133218739e+00
2.204540768504860360e+00, 8.619499389703860200e-12, 1.202860575709517341e-07, 8.047212048173919512e-08, 2.173706228222502720e-07, 1.236311109843787559e+00, 3.010994383746019132e+00, 5.457857289146803126e+00
2.259654287717481669e+00, 8.766419857215453301e-12, 1.210253331565538475e-07, 8.014851857455642129e-08, 2.189117537547620211e-07, 1.242885056013995015e+00, 3.095121443132711647e+00, 5.694396844990739837e+00
2.314767806930102978e+00, 8.925210101304249913e-12, 1.213222812390856303e-07, 8.115876807233821297e-08, 2.196731051328209549e-07, 1.249493958408331329e+00, 3.181599009102630493e+00, 5.941187852735060559e+00
2.369881326142724731e+00, 9.081291777090785619e-12, 1.244420773164200480e-07, 8.029573901685869462e-08, 2.199907538556736148e-07, 1.256138002902612127e+00, 3.270492754713150152e+00, 6.198674602831275138e+00
2.424994845355346040e+00, 9.221463552397046426e-12, 1.253068190257300057e-07, 8.118711703087796263e-08, 2.206870567316918495e-07, 1.262817376361026422e+00, 3.361870187924167919e+00, 6.467320640955149358e+00
2.480108364567967794e+00, 9.328956061968864030e-12, 1.278796619544106973e-07, 8.132545197623108467e-08, 2.220250215640441643e-07, 1.269532266641393514e+00, 3.455800702865210017e+00, 6.747609602514090810e+00
2.535221883780589103e+00, 9.387988270562955212e-12, 1.279437154683312358e-07, 8.135338099129860885e-08, 2.243819061457346989e-07, 1.276282862600444989e+00, 3.552355632534929253e+00, 7.040046083321464643e+00
2.590335402993210856e+00, 9.395717211856285746e-12, 1.285852252257721374e-07, 8.335205851912948934e-08, 2.267355570088140997e-07, 1.283069354099137138e+00, 3.651608302973031517e+00, 7.345156548005311592e+00
2.645448922205832165e+00, 9.368561861577149651e-12, 1.299708896966257442e-07, 8.264730435221631372e-08, 2.291998707323668340e-07, 1.289891932007990683e+00, 3.753634088945757341e+00, 7.663490277786833893e+00
2.700562441418453474e+00, 9.334434811194139289e-12, 1.300235692572910207e-07, 8.471266205989257843e-08, 2.311557718778976088e-07, 1.296750788212459149e+00, 3.858510471187222901e+00, 7.995620359334895788e+00
2.755675960631075228e+00, 9.317878446663565171e-12, 1.322601626689763513e-07, 8.548114581972826398e-08, 2.326404419868318795e-07, 1.303646115618325219e+00, 3.966317095240071477e+00, 8.342144716476795452e+00
2.810789479843696537e+00, 9.332659330950378215e-12, 1.322345622253299201e-07, 8.615084928822314002e-08, 2.339029264290682681e-07, 1.310578108157126831e+00, 4.077135831940133848e+00, 8.703687186622568461e+00
2.865902999056318290e+00, 9.381501986935391775e-12, 1.343419835607116879e-07, 8.794915344544152581e-08, 2.349441040328166994e-07, 1.317546960791611266e+00, 4.191050839591032862e+00, 9.080898643840811246e+00
2.921016518268939599e+00, 9.458535955561040230e-12, 1.348806264607378494e-07, 8.688692364767482381e-08, 2.367870513598599502e-07, 1.324552869521218090e+00, 4.308148627875936221e+00, 9.474458170607716667e+00
2.976130037481561352e+00, 9.551908150189564897e-12, 1.354600428828485610e-07, 8.737638890938336573e-08, 2.392792672258043696e-07, 1.331596031387591861e+00, 4.428518123555005737e+00, 9.885074280338908892e+00
3.031243556694182661e+00, 9.649191575334655652e-12, 1.365630215579675222e-07, 8.651235411783423511e-08, 2.428694265204999322e-07, 1.338676644480124800e+00, 4.552250737998428498e+00, 1.031348619290491619e+01
3.086357075906803971e+00, 9.740453379019298961e-12, 1.356644331130099434e-07, 8.554919321079083842e-08, 2.467117665413970603e-07, 1.345794907941526564e+00, 4.679440436606319587e+00, 1.076046516542650267e+01
3.141470595119425724e+00, 9.817603650810505509e-12, 1.374046590747487640e-07, 8.533542771974438614e-08, 2.499953814537095076e-07, 1.352951021973426426e+00, 4.810183810168214613e+00, 1.122681588074578052e+01
3.196584114332047033e+00, 9.869820342188158240e-12, 1.381019626063551751e-07, 8.417682104532821294e-08, 2.524903305345162097e-07, 1.360145187842003223e+00, 4.944580148216337179e+00, 1.171337789607257029e+01
3.251697633544668786e+00, 9.886093596347095687e-12, 1.415629574400535591e-07, 8.415154948264492198e-08, 2.541684106158596647e-07, 1.367377607883645929e+00, 5.082731514428366459e+00, 1.222102715441407916e+01
3.306811152757290095e+00, 9.867458763098407148e-12, 1.445009195750816925e-07, 8.352123263448041034e-08, 2.562981549983709071e-07, 1.374648485510645335e+00, 5.224742824136939134e+00, 1.275067756150885678e+01
3.361924671969911849e+00, 9.832165557044857720e-12, 1.469973850016500695e-07, 8.473703856186566557e-08, 2.588366737644692663e-07, 1.381958025216913910e+00, 5.370721924004779879e+00, 1.330328263110385478e+01
3.417038191182533158e+00, 9.806408572543895582e-12, 1.500926444395846341e-07, 8.419156474452042458e-08, 2.621762324203281084e-07, 1.389306432583737649e+00, 5.520779673925934716e+00, 1.387983720153667733e+01
3.472151710395154911e+00, 9.805262560223784373e-12, 1.505079506783440767e-07, 8.591838890520400039e-08, 2.659189462131760407e-07, 1.396693914285557891e+00, 5.675030031215340109e+00, 1.448137922671316247e+01
3.527265229607776220e+00, 9.824454920945582530e-12, 1.527059609040118526e-07, 8.667012018110447814e-08, 2.698246793904052106e-07, 1.404120678095785113e+00, 5.833590137150625132e+00, 1.510899164470473721e+01
3.582378748820397529e+00, 9.847237677459255847e-12, 1.528215896423413821e-07, 8.657524688243155096e-08, 2.737315361106685239e-07, 1.411586932892640478e+00, 5.996580405931907443e+00, 1.576380432732929648e+01
3.637492268033019283e+00, 9.856422425683558861e-12, 1.548182990818485320e-07, 8.805009024623390039e-08, 2.765611715299107955e-07, 1.419092888665032470e+00, 6.164124616127109491e+00, 1.644699611422559116e+01
3.692605787245640592e+00, 9.843108614346104818e-12, 1.573503308451857492e-07, 8.742887392804164055e-08, 2.785337093661433862e-07, 1.426638756518461948e+00, 6.336350004672251401e+00, 1.715979693508290183e+01
3.747719306458262345e+00, 9.812182038446791681e-12, 1.601476948432586884e-07, 8.823160994209516705e-08, 2.796530557128764914e-07, 1.434224748680959616e+00, 6.513387363498125637e+00, 1.790349002384652266e+01
3.802832825670883654e+00, 9.784492528033982454e-12, 1.644644441714560175e-07, 8.915177883640632854e-08, 2.814578985665122370e-07, 1.441851078509055473e+00, 6.695371138856692106e+00, 1.867941422888542746e+01
3.857946344883505407e+00, 9.784572758824385949e-12, 1.654624143805707609e-07, 8.958973428006988041e-08, 2.849045800251141109e-07, 1.449517960493778235e+00, 6.882439533422672007e+00, 1.948896642328077533e+01
3.913059864096126717e+00, 9.818962131809585882e-12, 1.672060355355552849e-07, 9.124901628629976049e-08, 2.896494421706005788e-07, 1.457225610266689175e+00, 7.074734611247834870e+00, 2.033360401957470387e+01
3.968173383308748470e+00, 9.865713719381285725e-12, 1.666550687703461453e-07, 9.140947042053255431e-08, 2.947799413739464058e-07, 1.464974244605946607e+00, 7.272402405647728330e+00, 2.121484759350637006e+01
4.023286902521369335e+00, 9.890201879761268040e-12, 1.679964857961351643e-07, 9.262774743336935551e-08, 2.988594870266225195e-07, 1.472764081442401451e+00, 7.475593030102727354e+00, 2.213428362145887718e+01
4.078400421733991088e+00, 9.875494265315232067e-12, 1.705928480275855359e-07, 9.344153015950980317e-08, 3.026913320745340624e-07, 1.480595339865728777e+00, 7.684460792257692852e+00, 2.309356733654518479e+01
4.133513940946612841e+00, 9.838950415884452725e-12, 1.726275611156341567e-07, 9.403716912687439290e-08, 3.067960215548365308e-07, 1.488468240130587539e+00, 7.899164311106737557e+00, 2.409442570847457077e+01
4.188627460159234595e+00, 9.819695499345939322e-12, 1.762703744524616107e-07, 9.473618139200642799e-08, 3.113978225006319774e-07, 1.496383003662817179e+00, 8.119866637452151537e+00, 2.513866055256450593e+01
4.243740979371855460e+00, 9.846122646235177480e-12, 1.784837621889629744e-07, 9.470530859995272740e-08, 3.154191661001786862e-07, 1.504339853065663313e+00, 8.346735377728943917e+00, 2.622815177349466964e+01
4.298854498584477213e+00, 9.909840070967147316e-12, 1.842296699703204387e-07, 9.565290296263067502e-08, 3.181821767816895035e-07, 1.512339012126040050e+00, 8.579942821289041177e+00, 2.736486074964299675e+01
4.353968017797098966e+00, 9.967458147313243217e-12, 1.895300676568513481e-07, 9.522765544234494733e-08, 3.215992680517686018e-07, 1.520380705820823186e+00, 8.819666071241771377e+00, 2.855083386409642188e+01
4.409081537009720719e+00, 9.972572510713634423e-12, 1.945753096471669897e-07, 9.711245812222204679e-08, 3.270456417255252476e-07, 1.528465160323178029e+00, 9.066087178950070324e+00, 2.978820618869288950e+01
4.464195056222341584e+00, 9.909233132551543819e-12, 1.979508274011868369e-07, 9.697606566304384371e-08, 3.347962397445014312e-07, 1.536592603008920310e+00, 9.319393282284467617e+00, 3.107920532772727285e+01
4.519308575434963338e+00, 9.796446834040894374e-12, 1.995339168561107101e-07, 9.904396541479623183e-08, 3.421649046036869356e-07, 1.544763262462911513e+00, 9.579776747739920495e+00, 3.242615542824048447e+01
4.574422094647585091e+00, 9.665530516564368304e-12, 2.049532043781020026e-07, 1.002225640587007234e-07, 3.476548454442045838e-07, 1.552977368485487286e+00, 9.847435316523341697e+00, 3.383148136411183771e+01
4.629535613860205956e+00, 9.538277539482950461e-12, 2.106362625883853274e-07, 1.016728917608947935e-07, 3.522715172964592165e-07, 1.561235152098920720e+00, 1.012257225472284183e+01, 3.529771310148664298e+01
4.684649133072827709e+00, 9.424477787188082006e-12, 2.185082905633073833e-07, 1.046368420375741517e-07, 3.578751324557147329e-07, 1.569536845553920701e+00, 1.040539650767269109e+01, 3.682749025339849425e+01
4.739762652285449462e+00, 9.329652832306343320e-12, 2.239703915721823781e-07, 1.049851991262492324e-07, 3.659987262543724173e-07, 1.577882682336162468e+00, 1.069612285863120960e+01, 3.842356683178546461e+01
4.794876171498071216e+00, 9.257646353399208812e-12, 2.283823868024158413e-07, 1.076595406819630588e-07, 3.753233926599673333e-07, 1.586272897172855911e+00, 1.099497209189213009e+01, 4.008881620545516000e+01
4.849989690710692081e+00, 9.210517378888931808e-12, 2.338429361514102274e-07, 1.084031438137162535e-07, 3.847583498267442371e-07, 1.594707726039346518e+00, 1.130217116045327863e+01, 4.182623627292452539e+01
4.905103209923313834e+00, 9.190833731620193071e-12, 2.392241570095517116e-07, 1.089477928563998251e-07, 3.930341568077997121e-07, 1.603187406165751616e+00, 1.161795335836993459e+01, 4.363895485944654240e+01
4.960216729135935587e+00, 9.203582172878773161e-12, 2.482745069394712668e-07, 1.112919366380765310e-07, 4.005773015866715969e-07, 1.611712176043634370e+00, 1.194255849792368096e+01, 4.553023534794036209e+01
5.015330248348556452e+00, 9.253444058256887506e-12, 2.560653298961539092e-07, 1.116588187006175409e-07, 4.085949258313515678e-07, 1.620282275432709307e+00, 1.227623309174139266e+01, 4.750348255396163921e+01
5.070443767561178205e+00, 9.337829158366517417e-12, 2.651643270817950067e-07, 1.143956685936363715e-07, 4.170367107799900356e-07, 1.628897945367586253e+00, 1.261923054000263633e+01, 4.956224885528988722e+01
